2017-04-06 00:49:47,624 [myid:] - INFO  [main:QuorumPeerConfig@103] - Reading configuration from: /media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../conf/zoo.cfg
2017-04-06 00:49:47,629 [myid:] - INFO  [main:QuorumPeerConfig@340] - Defaulting to majority quorums
2017-04-06 00:49:47,633 [myid:3] - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2017-04-06 00:49:47,633 [myid:3] - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2017-04-06 00:49:47,634 [myid:3] - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2017-04-06 00:49:47,642 [myid:3] - INFO  [main:QuorumPeerMain@127] - Starting quorum peer
2017-04-06 00:49:47,650 [myid:3] - INFO  [main:NIOServerCnxnFactory@94] - binding to port 0.0.0.0/0.0.0.0:2183
2017-04-06 00:49:47,661 [myid:3] - INFO  [main:QuorumPeer@959] - tickTime set to 2000
2017-04-06 00:49:47,661 [myid:3] - INFO  [main:QuorumPeer@979] - minSessionTimeout set to -1
2017-04-06 00:49:47,662 [myid:3] - INFO  [main:QuorumPeer@990] - maxSessionTimeout set to -1
2017-04-06 00:49:47,662 [myid:3] - INFO  [main:QuorumPeer@1005] - initLimit set to 5
2017-04-06 00:49:47,717 [myid:3] - INFO  [Thread-1:QuorumCnxManager$Listener@504] - My election bind port: localhost/127.0.0.1:3890
2017-04-06 00:49:47,724 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:QuorumPeer@714] - LOOKING
2017-04-06 00:49:47,726 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:FastLeaderElection@815] - New election. My id =  3, proposed zxid=0x50000003a
2017-04-06 00:49:47,733 [myid:3] - INFO  [WorkerReceiver[myid=3]:FastLeaderElection@597] - Notification: 1 (message format version), 3 (n.leader), 0x50000003a (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x5 (n.peerEpoch) LOOKING (my state)
2017-04-06 00:49:47,734 [myid:3] - INFO  [WorkerReceiver[myid=3]:FastLeaderElection@597] - Notification: 1 (message format version), 2 (n.leader), 0x50000003a (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x5 (n.peerEpoch) LOOKING (my state)
2017-04-06 00:49:47,735 [myid:3] - INFO  [WorkerReceiver[myid=3]:FastLeaderElection@597] - Notification: 1 (message format version), 3 (n.leader), 0x50000003a (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x5 (n.peerEpoch) LOOKING (my state)
2017-04-06 00:49:47,735 [myid:3] - INFO  [WorkerReceiver[myid=3]:FastLeaderElection@597] - Notification: 1 (message format version), 2 (n.leader), 0x50000003a (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x5 (n.peerEpoch) LOOKING (my state)
2017-04-06 00:49:47,735 [myid:3] - INFO  [WorkerReceiver[myid=3]:FastLeaderElection@597] - Notification: 1 (message format version), 3 (n.leader), 0x50000003a (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x5 (n.peerEpoch) LOOKING (my state)
2017-04-06 00:49:47,887 [myid:3] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2183:NIOServerCnxnFactory@197] - Accepted socket connection from /127.0.0.1:54670
2017-04-06 00:49:47,892 [myid:3] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2183:NIOServerCnxn@362] - Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running
2017-04-06 00:49:47,892 [myid:3] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2183:NIOServerCnxn@1007] - Closed socket connection for client /127.0.0.1:54670 (no session established for client)
2017-04-06 00:49:47,936 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:QuorumPeer@796] - LEADING
2017-04-06 00:49:47,938 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Leader@60] - TCP NoDelay set to: true
2017-04-06 00:49:47,943 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2017-04-06 00:49:47,943 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:host.name=mikhail-PC
2017-04-06 00:49:47,943 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:java.version=1.8.0_121
2017-04-06 00:49:47,943 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:java.vendor=Oracle Corporation
2017-04-06 00:49:47,943 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:java.home=/opt/jdk1.8.0_121/jre
2017-04-06 00:49:47,943 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:java.class.path=/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../build/classes:/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../build/lib/*.jar:/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../lib/slf4j-log4j12-1.6.1.jar:/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../lib/slf4j-api-1.6.1.jar:/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../lib/netty-3.7.0.Final.jar:/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../lib/log4j-1.2.16.jar:/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../lib/jline-0.9.94.jar:/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../zookeeper-3.4.6.jar:/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../src/java/lib/*.jar:/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin/../conf:
2017-04-06 00:49:47,943 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib
2017-04-06 00:49:47,944 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:java.io.tmpdir=/tmp
2017-04-06 00:49:47,944 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:java.compiler=<NA>
2017-04-06 00:49:47,944 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:os.name=Linux
2017-04-06 00:49:47,944 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:os.arch=amd64
2017-04-06 00:49:47,944 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:os.version=4.4.0-71-generic
2017-04-06 00:49:47,944 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:user.name=mikhail
2017-04-06 00:49:47,944 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:user.home=/home/mikhail
2017-04-06 00:49:47,944 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Environment@100] - Server environment:user.dir=/media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/z3/bin
2017-04-06 00:49:47,945 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:ZooKeeperServer@162] - Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/solrcloud/zdata/3/version-2 snapdir /media/mikhail/fd1ad2f6-4a8c-4de6-9203-5d35f9cdea4a/temp/solrConfig/solrConfig/solrcloud/zdata/3/version-2
2017-04-06 00:49:47,945 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Leader@358] - LEADING - LEADER ELECTION TOOK - 219
2017-04-06 00:49:47,954 [myid:3] - INFO  [LearnerHandler-/127.0.0.1:55374:LearnerHandler@330] - Follower sid: 1 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@64b2ff00
2017-04-06 00:49:47,954 [myid:3] - INFO  [LearnerHandler-/127.0.0.1:55372:LearnerHandler@330] - Follower sid: 2 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@1e043528
2017-04-06 00:49:47,959 [myid:3] - INFO  [LearnerHandler-/127.0.0.1:55374:LearnerHandler@385] - Synchronizing with Follower sid: 1 maxCommittedLog=0x50000003a minCommittedLog=0x10000008e peerLastZxid=0x50000003a
2017-04-06 00:49:47,959 [myid:3] - INFO  [LearnerHandler-/127.0.0.1:55372:LearnerHandler@385] - Synchronizing with Follower sid: 2 maxCommittedLog=0x50000003a minCommittedLog=0x10000008e peerLastZxid=0x50000003a
2017-04-06 00:49:47,960 [myid:3] - INFO  [LearnerHandler-/127.0.0.1:55372:LearnerHandler@462] - Sending DIFF
2017-04-06 00:49:47,960 [myid:3] - INFO  [LearnerHandler-/127.0.0.1:55374:LearnerHandler@462] - Sending DIFF
2017-04-06 00:49:47,971 [myid:3] - INFO  [LearnerHandler-/127.0.0.1:55372:LearnerHandler@522] - Received NEWLEADER-ACK message from 2
2017-04-06 00:49:47,971 [myid:3] - INFO  [LearnerHandler-/127.0.0.1:55374:LearnerHandler@522] - Received NEWLEADER-ACK message from 1
2017-04-06 00:49:47,972 [myid:3] - INFO  [QuorumPeer[myid=3]/0:0:0:0:0:0:0:0:2183:Leader@943] - Have quorum of supporters, sids: [ 2,3 ]; starting up and setting last processed zxid: 0x600000000
2017-04-06 00:49:48,220 [myid:3] - INFO  [SyncThread:3:FileTxnLog@199] - Creating new log file: log.600000001
2017-04-06 00:49:48,243 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@494] - Processed session termination for sessionid: 0x25b4018543b0000
2017-04-06 00:49:48,508 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@645] - Got user-level KeeperException when processing sessionid:0x25b4018543b0001 type:create cxid:0x1 zxid:0x600000004 txntype:-1 reqpath:n/a Error Path:/overseer Error:KeeperErrorCode = NodeExists for /overseer
